"Opportunity Name","Revenue Type","DT Order ID","Amount After Discount","Renewal Amount this Year","Total Invoice Amount","Close Date","Opportunity Owner","License Ordered"
"REN 3/15/2021 Bureau Conseils et Services SCRL - Retail","CRR Retail Renewal","S513844","900.00","900.00","900.00","3/29/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 3/31/2021 - Elbek & Vejrup A/S","CRR Retail Renewal","S513839","1995.00","1995.00","1995.00","3/29/2021","Tara Ubbens","Retail - ESEE"
"REN 4/20/2021 Centric Consulting - Retail Pack","CRR Contract REN","S513819","1495.00","1495.00","1495.00","3/29/2021","Tara Ubbens","Retail - ESEE"
"REN 4/23/2021 PrettyBit Projects Oy - Retail Pack","CRR Retail Renewal","S513840","1495.00","1495.00","1495.00","3/29/2021","Tara Ubbens","Retail - ESEE"
"REN 5/21/2021 Alpha Moisture Systems	 - Retail-Renewal Split","CRR Retail Renewal","S513908","445.00","445.00","1495.00","3/30/2021","Tara Ubbens","Retail - ESEE"
"REN 3/12/2021 Moco Food Services - Retail Pack","CRR Retail Renewal","S513912","1495.00","1495.00","1495.00","3/30/2021","Tara Ubbens","Retail - ESEE"
"REN 4/23/2021 VetDB Pty Ltd - Retail Pack","CRR Retail Renewal","S513964","1495.00","1495.00","1495.00","3/30/2021","Tara Ubbens","Retail - ESEE"
"W513916 REN 4/17/2021 Anova - Retail","CRR Retail Renewal","W513916","900.00","900.00","900.00","3/30/2021","Tara Ubbens","Retail - ESEE"
"REN 3/24/2021 Aquis Systems AG - Retail - Renewal Split","CRR Retail Renewal","S514102","445.00","2120.75","2120.75","3/31/2021","Tara Ubbens","Retail - ESEE"
"REN 3/23/2021 Delsys inc - Retail Pack","CRR Retail Renewal","S514089","1495.00","1495.00","1495.00","3/31/2021","Tara Ubbens","Retail - ESEE"
"REN 3/27/2021 Qwk Insights Ltd - Retail Pack","CRR Retail Renewal","S514190","1495.00","1495.00","1495.00","3/31/2021","Tara Ubbens","Retail - ESEE"
"REN 3/31/2021 Primal Inc - Retail Pack","CRR Retail Renewal","S514090","3990.00","3990.00","3990.00","3/31/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 2/25/2021 - ITL Webbureau A/S","CRR Retail Renewal","S511564","445.00","445.00","445.00","3/2/2021","Tara Ubbens","Retail - Other"
"W511544 REN 3/10/2021 DNV GL - Retail","CRR Retail Renewal","W511544","445.00","445.00","445.00","3/2/2021","Tara Ubbens","Retail - Other"
"W511528 REN 3/19/2021 SII Technologies - Retail","CRR Retail Renewal","W511528","445.00","445.00","445.00","3/2/2021","Tara Ubbens","Retail - Other"
"W511533 REN 5/18/2021 optengo - Retail","CRR Retail Renewal","W511533","445.00","445.00","445.00","3/2/2021","Tara Ubbens","Retail - Other"
"RENAPI - 2/9/2021 - Adventist Health System","CRR Retail Renewal","S511663","445.00","445.00","445.00","3/3/2021","Tara Ubbens","Retail - Other"
"REN 3/12/2021 Hyperio Software LTD - Retail","CRR Retail Renewal","S511666","445.00","445.00","445.00","3/3/2021","Tara Ubbens","Retail - Other"
"REN 2/5/2021 Matt Cuda Nature Photography - Retail","CRR Retail Renewal","S511681","445.00","445.00","476.15","3/3/2021","Tara Ubbens","Retail - Other"
"REN 2/21/2021 Toronto District School Board - Retail","CRR Retail Renewal","S511679","356.00","356.00","356.00","3/3/2021","Tara Ubbens","Retail - Other"
"REN 3/5/2021 CACI International Inc - Retail","CRR Retail Renewal","S511675","890.00","890.00","890.00","3/3/2021","Tara Ubbens","Retail - Other"
"REN 3/24/2021 AccuReward Pty (Ltd) - Retail","CRR Retail Renewal","S511683","890.00","890.00","890.00","3/3/2021","Tara Ubbens","Retail - Other"
"REN 2/12/2021 Formpipe Software A/S - Retail","CRR Retail Renewal","S511651","445.00","445.00","445.00","3/3/2021","Tara Ubbens","Retail - Other"
"REN 2/5/2021 BTG - Brighton Technologies Group - Retail","CRR Retail Renewal","S511752","445.00","445.00","445.00","3/4/2021","Tara Ubbens","Retail - Other"
"W511756 REN 2/7/2021 Prista Tech Private Limited - Retail","CRR Retail Renewal","W511756","445.00","445.00","445.00","3/4/2021","Tara Ubbens","Retail - Other"
"W511804 REN 3/13/2021 Actia Italia Srl - Retail","CRR Retail Renewal","W511804","295.00","295.00","295.00","3/5/2021","Tara Ubbens","Retail - Other"
"W511998 REN 3/1/2021 Microjovem Informática, Lda - Retail","CRR Retail Renewal","W511998","445.00","445.00","445.00","3/8/2021","Tara Ubbens","Retail - Other"
"REN 2/17/2021 NETZSCH-Group - Retail","CRR Retail Renewal","S512011","890.00","890.00","890.00","3/8/2021","Tara Ubbens","Retail - Other"
"REN 3/24/2021 LivePerson - Retail","CRR Retail Renewal","S512019","445.00","445.00","445.00","3/8/2021","Tara Ubbens","Retail - Other"
"W513981 REN 4/10/2021 Hausbank Muenchen - Retail","CRR Retail Renewal","W513981","445.00","445.00","445.00","3/9/2021","Tara Ubbens","Retail - Other"
"REN 4/24/2021 Computer Service Centre Ltd. - Retail","CRR Retail Renewal","S512126","445.00","445.00","445.00","3/9/2021","Tara Ubbens","Retail - Other"
"REN 3/27/2021 Lector - Retail","CRR Retail Renewal","S512128","445.00","445.00","445.00","3/9/2021","Tara Ubbens","Retail - Other"
"REN 3/19/2021 Bourgault Industries Ltd - Saskatoon Office - Retail","CRR Retail Renewal","S512127","445.00","445.00","445.00","3/9/2021","Tara Ubbens","Retail - Other"
"REN 2/11/2021 Kalpa srl - Retail","CRR Retail Renewal","S512131","445.00","445.00","445.00","3/9/2021","Tara Ubbens","Retail - Other"
"REN 3/30/2021 Advance Change Ltd - Retail","CRR Retail Renewal","S512221","890.00","890.00","890.00","3/10/2021","Tara Ubbens","Retail - Other"
"REN 3/30/2021 Moviynt, Inc - Retail","CRR Retail Renewal","S512217","445.00","445.00","445.00","3/10/2021","Tara Ubbens","Retail - Other"
"W512331 REN 3/12/2021 Cogelis - Retail","CRR Retail Renewal","W512331","445.00","445.00","445.00","3/10/2021","Tara Ubbens","Retail - Other"
"REN 4/23/2021 Robert Bosch Kft. - Retail","CRR Retail Renewal","S513028","445.00","2435.00","2435.00","3/10/2021","Tara Ubbens","Retail - Other"
"REN 2/28/2021 Ageas via Stim Plus - Retail","CRR Retail Renewal","S513235","890.00","890.00","890.00","3/10/2021","Tara Ubbens","Retail - Other"
"REN 3/26/2021 Legalcube UG - Retail","CRR Retail Renewal","S512218","445.00","445.00","445.00","3/10/2021","Tara Ubbens","Retail - Other"
"REN 5/13/2021 Carl Zeiss - Retail - POSSIBLE GLOBAL COVERAGE via ComponentSource","CRR Retail Renewal","C488528","222.50","222.50","222.50","3/10/2021","Tara Ubbens","Retail - Other"
"REN 3/28/2021 St. Gallisch-Appenzellische Kraftwerke AG - Retail","CRR Retail Renewal","S512219","445.00","445.00","445.00","3/10/2021","Tara Ubbens","Retail - Other"
"RENAPI - 3/22/2021 - DMCard","CRR Retail Renewal","S512352","445.00","445.00","445.00","3/11/2021","Tara Ubbens","Retail - Other"
"W512346 REN 4/18/2021 Endow Us - Retail","CRR Retail Renewal","W512346","295.00","295.00","295.00","3/12/2021","Tara Ubbens","Retail - Other"
"W512593 REN 4/18/2021 NLA Solutions AS - Retail - Renewal Split","CRR Retail Renewal","W512593","445.00","445.00","1127.57","3/13/2021","Tara Ubbens","Retail - Other"
"REN 4/23/2021 Threshold.world - Retail","CRR Retail Renewal","S512696","1335.00","1335.00","1335.00","3/13/2021","Tara Ubbens","Retail - Other"
"W512436 REN 3/14/2021 Megtree LLC - Retail","CRR Retail Renewal","W512436","445.00","445.00","445.00","3/13/2021","Tara Ubbens","Retail - Other"
"REN 3/30/2021 Wakenbtech Co, Ltd. - Retail","CRR Retail Renewal","S512688","445.00","445.00","445.00","3/13/2021","Tara Ubbens","Retail - Other"
"REN 2/19/2021 Red Oak Technologies - Retail","CRR Retail Renewal","S512637","445.00","445.00","445.00","3/13/2021","Tara Ubbens","Retail - Other"
"W512466 REN 3/11/2021 Blueye Robotics - Retail","CRR Retail Renewal","W512466","445.00","445.00","445.00","3/14/2021","Tara Ubbens","Retail - Other"
"W512505 REN 3/30/2021 Anacle Systems Pte Ltd - Retail","CRR Retail Renewal","W512505","445.00","445.00","445.00","3/14/2021","Tara Ubbens","Retail - Other"
"RENAPI - 2/21/2021 - CGSI - iXBAT ERP for construction","CRR Retail Renewal","S512634","890.00","890.00","890.00","3/15/2021","Tara Ubbens","Retail - Other"
"REN 3/1/2021 Hydro-Gear - Retail","CRR Retail Renewal","S512639","445.00","445.00","445.00","3/15/2021","Tara Ubbens","Retail - Other"
"REN 3/19/2021 InfoVista - Retail","CRR Retail Renewal","S512866","445.00","445.00","445.00","3/15/2021","Tara Ubbens","Retail - Other"
"W512619 REN 3/19/2021 Ivo - Retail","CRR Retail Renewal","W512619","445.00","445.00","445.00","3/15/2021","Tara Ubbens","Retail - Other"
"W512516 REN 3/5/2021 Coor GmbH - Retail","CRR Retail Renewal","W512516","445.00","445.00","445.00","3/15/2021","Tara Ubbens","Retail - Other"
"W512530 REN 3/27/2021 ProkHard Sp zoo - Retail","CRR Retail Renewal","W512530","295.00","295.00","295.00","3/15/2021","Tara Ubbens","Retail - Other"
"REN 4/8/2021 Sovdwaer - Retail","CRR Retail Renewal","S512707","445.00","445.00","445.00","3/16/2021","Tara Ubbens","Retail - Other"
"W512632 REN 2/19/2021 Durante S.P.A. - Retail","CRR Retail Renewal","W512632","445.00","445.00","445.00","3/16/2021","Tara Ubbens","Retail - Other"
"REN 3/23/2021 Third Millennium Systems Ltd. via Grey Matter - Retail","CRR Retail Renewal","S512728","445.00","445.00","445.00","3/16/2021","Tara Ubbens","Retail - Other"
"W512667 REN 2/17/2021 The Farmington Company - Retail","CRR Retail Renewal","W512667","1335.00","1335.00","1335.00","3/16/2021","Tara Ubbens","Retail - Other"
"REN 3/21/2021 Humbee solutions GmbH - Retail","CRR Retail Renewal","S512928","445.00","445.00","445.00","3/17/2021","Tara Ubbens","Retail - Other"
"REN 3/22/2021 Autag Pty Ltd - Retail","CRR Retail Renewal","S512911","445.00","445.00","445.00","3/17/2021","Tara Ubbens","Retail - Other"
"REN 3/24/2021 ino2 - Retail","CRR Retail Renewal","S512917","445.00","445.00","445.00","3/17/2021","Tara Ubbens","Retail - Other"
"REN 3/18/2021 AtwoM - Retail","CRR Retail Renewal","S512908","890.00","890.00","890.00","3/17/2021","Tara Ubbens","Retail - Other"
"W512921 REN 2/18/2021 Adafy Oy - Retail","CRR Retail Renewal","W512921","445.00","445.00","445.00","3/18/2021","Tara Ubbens","Retail - Other"
"REN 3/14/2021 Molecule Corp - Retail","CRR Retail Renewal","S513024","295.00","295.00","295.00","3/19/2021","Tara Ubbens","Retail - Other"
"REN 4/6/2021 MFA Informatik AG - Retail via ComponentSource","CRR Retail Renewal","C489388","222.50","222.50","222.50","3/19/2021","Tara Ubbens","Retail - Other"
"W513063 REN 3/28/2021 Boral  - Retail","CRR Retail Renewal","W513063","445.00","445.00","445.00","3/20/2021","Tara Ubbens","Retail - Other"
"REN 4/30/2021 Autoliv - Retail","CRR Retail Renewal","S513362","890.00","890.00","890.00","3/21/2021","Tara Ubbens","Retail - Other"
"REN 4-16-21 Civica Pty Ltd. Xamarin x2","CRR Retail Renewal","S513335","890.00","890.00","890.00","3/22/2021","Tara Ubbens","Retail - Other"
"W513248 REN 3/22/2021 Indata - Retail","CRR Retail Renewal","W513248","445.00","445.00","445.00","3/22/2021","Tara Ubbens","Retail - Other"
"REN 4/11/2021 Far Reach - Retail","CRR Retail Renewal","S513325","445.00","445.00","445.00","3/22/2021","Tara Ubbens","Retail - Other"
"REN 3/11/2021 TimeSuite Software Corporation - Retail","CRR Retail Renewal","S513297","445.00","445.00","445.00","3/22/2021","Tara Ubbens","Retail - Other"
"REN 3/5/2021 Clientele - Retail","CRR Retail Renewal","S513311","1780.00","1780.00","1780.00","3/22/2021","Tara Ubbens","Retail - Other"
"REN 3/3/2021 Monterey Financial Services Inc - Retail","CRR Retail Renewal","S512014","445.00","445.00","445.00","3/8/2021","Tara Ubbens","Retail - Other"
"REN 3/27/2021 L2 Partners LLC - Retail","CRR Retail Renewal","S512673","445.00","445.00","445.00","3/12/2021","Tara Ubbens","Retail - Other"
"REN 3/21/2021 Rutamsoft - Retail","CRR Retail Renewal","S512822","445.00","445.00","445.00","3/15/2021","Tara Ubbens","Retail - Other"
"REN 3/28/2021 Kennards Hire - Retail","CRR Retail Renewal","S513331","588.00","588.00","588.00","3/22/2021","Tara Ubbens","Retail - Other"
"W513228 REN 3/27/2021 Aspire Software - Retail","CRR Retail Renewal","W513228","3560.00","3560.00","3560.00","3/22/2021","Tara Ubbens","Retail - Other"
"W513261 REN 3/31/2021 Edenred - Retail","CRR Retail Renewal","W513261","445.00","445.00","445.00","3/22/2021","Tara Ubbens","Retail - Other"
"REN 3/13/2021 zetes - Retail","CRR Retail Renewal","S513305","445.00","445.00","445.00","3/22/2021","Tara Ubbens","Retail - Other"
"REN 4/30/2021 31st Union - Retail","CRR Retail Renewal","S513381","445.00","445.00","445.00","3/22/2021","Tara Ubbens","Retail - Other"
"W513274 REN 4/10/2021 Grupo Sanjose - Retail","CRR Retail Renewal","W513274","445.00","445.00","445.00","3/23/2021","Tara Ubbens","Retail - Other"
"REN 4/9/2021 ArrowStream - Retail","CRR Retail Renewal","S513493","890.00","890.00","890.00","3/23/2021","Tara Ubbens","Retail - Other"
"REN 4/30/2021 Centurion Computers - Retail","CRR Retail Renewal","S513332","445.00","445.00","445.00","3/23/2021","Tara Ubbens","Retail - Other"
"REN 4/1/2021 Ernst & Young LLP - Retail","CRR Retail Renewal","S513789","1268.25","1268.25","1268.25","3/23/2021","Tara Ubbens","Retail - Other"
"REN 4/22/2021 NDS (Net Display Systems) - Retail","CRR Retail Renewal","S513491","445.00","445.00","445.00","3/23/2021","Tara Ubbens","Retail - Other"
"REN 4/30/2021 ALPS Automation SA - Retail","CRR Retail Renewal","S513485","445.00","445.00","445.00","3/23/2021","Tara Ubbens","Retail - Other"
"REN 3/13/2021 Timmons Group - Retail","CRR Retail Renewal","S513370","445.00","445.00","445.00","3/23/2021","Tara Ubbens","Retail - Other"
"W513271 REN 3/4/2021 Acriba Service GmbH - Retail","CRR Retail Renewal","W513271","445.00","445.00","445.00","3/23/2021","Tara Ubbens","Retail - Other"
"REN 3/18/2021 Integrated Dynamic Solutions India Pvt Ltd - Retail","CRR Retail Renewal","S513372","445.00","445.00","445.00","3/23/2021","Tara Ubbens","Retail - Other"
"REN 2/21/2021 College of American Pathologists - Retail","CRR Retail Renewal","S513371","1335.00","1335.00","1335.00","3/23/2021","Tara Ubbens","Retail - Other"
"REN 4/4/2021 Dynaway A/S - Retail","CRR Retail Renewal","S513552","445.00","445.00","445.00","3/24/2021","Tara Ubbens","Retail - Other"
"REN 4/24/2021 GXM Consulting - Retail","CRR Retail Renewal","S513592","1335.00","1335.00","1335.00","3/24/2021","Tara Ubbens","Retail - Other"
"W513416 REN 4/30/2021 Amtech Solutions - Retail","CRR Retail Renewal","W513416","445.00","445.00","445.00","3/24/2021","Tara Ubbens","Retail - Other"
"REN 4/19/2021 Gensco Inc. - Retail","CRR Retail Renewal","S513489","445.00","445.00","445.00","3/24/2021","Tara Ubbens","Retail - Other"
"REN 3/17/2021 CC-Expertise - Retail","CRR Retail Renewal","S513472","445.00","445.00","445.00","3/24/2021","Tara Ubbens","Retail - Other"
"REN 3/7/2021 Novarum™ DX Ltd - Retail","CRR Retail Renewal","S513474","2670.00","2670.00","2670.00","3/24/2021","Tara Ubbens","Retail - Other"
"REN 2/28/2021 Eudonet UK - Retail","CRR Retail Renewal","S513470","445.00","445.00","445.00","3/24/2021","Tara Ubbens","Retail - Other"
"W513498 REN 7/17/2021 Celeris Systems Inc - Retail","CRR Retail Renewal","W513498","445.00","445.00","445.00","3/25/2021","Tara Ubbens","Retail - Other"
"REN 3/25/2021 Maxiva S.A. - Retail","CRR Retail Renewal","S513546","445.00","445.00","445.00","3/25/2021","Tara Ubbens","Retail - Other"
"REN 4/17/2021 B4payment GmbH - Retail","CRR Retail Renewal","S513597","445.00","445.00","445.00","3/26/2021","Tara Ubbens","Retail - Other"
"REN 3/12/2021 EDIfacilities SARL - Retail","CRR Retail Renewal","S513588","445.00","445.00","445.00","3/26/2021","Tara Ubbens","Retail - Other"
"REN 3/6/2021 CMP Scientific - Retail","CRR Retail Renewal","S513765","445.00","445.00","445.00","3/26/2021","Tara Ubbens","Retail - Other"
"W513600 RENAPI - 4/21/2021 - UxC, LLC.","CRR Retail Renewal","W513600","445.00","445.00","445.00","3/26/2021","Tara Ubbens","Retail - Other"
"REN 4/3/2021 Win wam Software - Retail","CRR Retail Renewal","S513772","445.00","445.00","445.00","3/26/2021","Tara Ubbens","Retail - Other"
"REN 3/12/2021 ABB Turbo Systems AG - Retail","CRR Retail Renewal","S513763","445.00","445.00","445.00","3/26/2021","Tara Ubbens","Retail - Other"
"REN 3/27/2021 DeSL - Discover e-Solutions Ltd - Retail","CRR Retail Renewal","S513761","445.00","445.00","445.00","3/26/2021","Tara Ubbens","Retail - Other"
"REN 2/26/2021 SyTech Solutions - Retail","CRR Retail Renewal","S513585","445.00","445.00","445.00","3/26/2021","Tara Ubbens","Retail - Other"
"REN 4/21/2021 Röchling Automotive EN - Retail","CRR Retail Renewal","S513836","445.00","445.00","445.00","3/29/2021","Tara Ubbens","Retail - Other"
"REN 3/7/2021 Deltek - Retail","CRR Retail Renewal","S513803","890.00","890.00","890.00","3/29/2021","Tara Ubbens","Retail - Other"
"REN 2/27/2021 IDSS Information Delivery Systems Sweden AB - Retail","CRR Retail Renewal","S513833","445.00","445.00","445.00","3/29/2021","Tara Ubbens","Retail - Other"
"REN 3/31/2021 Biotronik - Retail","CRR Retail Renewal","S513804","1335.00","1335.00","1335.00","3/29/2021","Tara Ubbens","Retail - Other"
"REN 4/24/2021 Winegard Company - Retail","CRR Retail Renewal","S513835","890.00","890.00","890.00","3/29/2021","Tara Ubbens","Retail - Other"
"W513279 REN 4/1/2021 GBS Europa GmbH - Retail","CRR Retail Renewal","W513279","445.00","445.00","445.00","3/23/2021","Tara Ubbens","Retail - Other"
"REN 4/1/2021 Arrayworks, Inc. - Retail","CRR Retail Renewal","S513549","445.00","445.00","445.00","3/25/2021","Tara Ubbens","Retail - Other"
"REN 4/17/2021 Flynn Canada Ltd - Retail","CRR Retail Renewal","S513781","1335.00","1335.00","1335.00","3/26/2021","Tara Ubbens","Retail - Other"
"W513814 REN 3/27/2021 MSI-ACI Europe BV - Retail","CRR Retail Renewal","W513814","445.00","445.00","445.00","3/29/2021","Tara Ubbens","Retail - Other"
"REN 4/16/2021 SoloProtect Ltd - Retail","CRR Retail Renewal","S513931","445.00","445.00","445.00","3/30/2021","Tara Ubbens","Retail - Other"
"REN 4/16/2021 Xylem Inc - Retail","CRR Retail Renewal","S513930","445.00","445.00","445.00","3/30/2021","Tara Ubbens","Retail - Other"
"REN 3/27/2021 Epsitec SA - Retail","CRR Retail Renewal","S513965","445.00","445.00","445.00","3/30/2021","Tara Ubbens","Retail - Other"
"REN 4/28/2021 Skols, Inc - Retail","CRR Retail Renewal","S513966","295.00","295.00","295.00","3/30/2021","Tara Ubbens","Retail - Other"
"W513963 REN 4/1/2021 Orthocare Innovations LLC - Retail","CRR Contract REN","W513963","295.00","295.00","295.00","3/30/2021","Tara Ubbens","Retail - Other"
"W513860 REN 3/17/2021 Plassys Bestek  - Retail","CRR Retail Renewal","W513860","445.00","445.00","445.00","3/30/2021","Tara Ubbens","Retail - Other"
"RENAPI - 2/27/2021 - Versa Tecnologia","CRR Retail Renewal","S513888","445.00","445.00","445.00","3/30/2021","Tara Ubbens","Retail - Other"
"REN 4/14/2021 Nybble Technologies (Pty) Ltd - Retail","CRR Retail Renewal","S514086","295.00","295.00","295.00","3/31/2021","Tara Ubbens","Retail - Other"
"RENAPI - 3/1/2021 - RAM - Reliant Account Management- Renewal Split","CRR Retail Renewal","S514100","445.00","1440.00","1440.00","3/31/2021","Tara Ubbens","Retail - Other"
"RENAPI - 3/6/2021 - Atlas Copco","CRR Retail Renewal","S514031","445.00","445.00","445.00","3/31/2021","Tara Ubbens","Retail - Other"
"REN 4/23/2021 Creative Intelligence - Retail","CRR Retail Renewal","S514121","890.00","890.00","890.00","3/31/2021","Tara Ubbens","Retail - Other"
"RENAPI - 3/31/2021 - CyberTech Systems and Software, Inc","CRR Retail Renewal","S514054","1335.00","1335.00","1335.00","3/31/2021","Tara Ubbens","Retail - Other"
"REN 3/6/2021 Vonovia SE  - Retail","CRR Retail Renewal","S514027","890.00","890.00","890.00","3/31/2021","Tara Ubbens","Retail - Other"
"REN 4/1/2021 Innovations In Software, Inc. - Retail","CRR Retail Renewal","S514120","445.00","445.00","445.00","3/31/2021","Tara Ubbens","Retail - Other"
"REN 3/29/2021 DecisivEdge - Retail","CRR Retail Renewal","S514099","445.00","445.00","445.00","3/31/2021","Tara Ubbens","Retail - Other"
"REN 3/2/2021 ATS - American Technical Services, Inc. - Retail","CRR Retail Renewal","S514103","585.00","585.00","585.00","3/31/2021","Tara Ubbens","Retail - Other"
"REN 4/15/2021 Intermatic Incorporated - Retail","CRR Retail Renewal","S514058","890.00","890.00","890.00","3/31/2021","Tara Ubbens","Retail - Other"
"REN 3/28/2021 Brian Miller	 - Retail","CRR Retail Renewal","S514083","445.00","445.00","445.00","3/31/2021","Tara Ubbens","Retail - Other"
"REN 3/18/2021 Glarner Kantonalbank - Retail","CRR Retail Renewal","S514088","445.00","445.00","445.00","3/31/2021","Tara Ubbens","Retail - Other"
"Centricx - API - Centric Bold BI Cloud Business 5","Sales NLR - Bold BI","","195.00","","","3/31/2021","Pat Staley","Bold BI Cloud"
