"Amount After Discount","Opportunity Name","Revenue Type","Close Date","Opportunity Owner"
"19995.00","AKKA Technologies – Project","Sales NLR - General","11/22/2021","Thomas Philip"
"696.50","W532862 - MHN – Enterprise IT Solutions Company – Xamarin Download – API","Sales NLR - General","11/28/2021","Thomas Philip"
"696.50","W533073 - Seabrokrs Chartering – Blazor Components Download – API","Sales NLR - General","11/29/2021","Thomas Philip"
"696.50","W532754 - Bluerithm - Xamarin","Sales NLR - General","11/30/2021","Thomas Philip"
"7711.25","W533810 - Techno Mind Co., Ltd – React Download – API","Sales NLR - General","12/8/2021","Thomas Philip"
"4995.00","W533996 OneStream Software LLC- ESEE","Sales NLR - General","12/10/2021","Thomas Philip"
"945.25","W534212 Custard Technical Services Ltd - Blazor","Sales NLR - General","12/14/2021","Thomas Philip"
"6268.50","Ammic Corporation– Blazor","Sales NLR - General","12/21/2021","Thomas Philip"
"796.00","Cognizant via SoftwareOne  FILE FORMATS","Sales NLR - General","12/22/2021","Thomas Philip"
"6800.00","Harborside – ESEE","Sales NLR - General","12/23/2021","Thomas Philip"
"14400.00","Philips  Via Preflex Solutions  Project license","Sales NLR - General","12/30/2021","Thomas Philip"
"746.25","W535510 Performance Loop – Blazor","Sales NLR - General","12/31/2021","Thomas Philip"
"15000.00","Mercury Insurance Services, LLC –Project license","Sales NLR - General","12/31/2021","Thomas Philip"
